Metry_kwadratowe,Liczba_pokoi,Podworko,Basen,Pietra,Kod_pocztowy,Prestiz,Liczba_poprzednich_wlascicieli,Zbudowany,Instalacja_odgromowa,Piwnica,Strych,Garaz,Magazyn,Goscinny,Cena
15330,33,0,0,23,92191,7,1,2009,1,9370,7917,850,1,0,1535813.9
60443,81,0,0,37,43492,8,8,2017,0,1402,4592,960,0,8,6046307.7
26304,79,0,0,23,53935,2,2,2006,1,5209,1391,968,0,2,2632641.6
60619,62,1,1,93,93976,7,4,2020,1,3414,7498,537,0,5,6076849.0
21104,12,0,1,86,21135,8,6,2008,0,8164,7067,194,1,0,2117222.8
98551,68,0,1,78,85725,2,8,1992,1,1830,9237,206,1,10,9860229.2
90262,97,0,1,45,58562,10,10,2008,0,3904,7443,447,0,10,9035172.8
56701,27,1,1,36,27612,4,1,2009,0,7864,6314,706,0,4,5679272.9
27786,79,0,1,45,6863,9,2,2001,0,5008,9584,519,1,6,2783279.1
17685,13,0,1,46,5544,3,4,1997,1,4525,5811,153,0,4,1772972.7
36871,80,0,1,71,83409,2,4,2005,1,7399,3115,507,1,0,3692818.5
78004,71,1,1,96,39708,10,10,1990,1,4527,2138,329,1,6,7816750.0
27176,60,0,1,26,19848,3,7,1993,0,6042,2264,452,1,6,2724809.3
94222,26,0,0,75,25384,3,8,1990,0,5350,3550,305,0,2,9424799.0
30144,93,1,1,94,75883,5,3,2019,1,7886,4098,253,0,4,3024682.9
58623,42,0,1,15,51826,1,7,1996,0,3185,9226,755,1,4,5866256.6
16668,62,1,0,68,14451,10,10,2018,1,4303,7846,513,0,5,1673885.8
73212,16,1,0,70,88064,4,6,2020,1,3789,6826,984,1,9,7329443.0
62506,72,0,0,54,43453,4,5,2003,0,3573,5284,635,1,0,6252728.3
52912,87,1,1,15,29874,8,2,2001,0,2340,7491,687,1,6,5301627.1
30514,83,1,0,73,69989,5,4,2014,1,7080,8053,538,1,4,3061149.4
48324,27,1,0,80,34094,7,9,2001,0,7317,6159,806,1,0,4840107.1
61039,89,0,1,89,33654,5,8,2020,0,8374,2465,295,0,2,6113757.0
57967,52,1,1,68,20438,1,10,1998,0,5172,8075,644,1,10,5802218.8
24313,46,1,0,53,79612,5,8,2003,0,1365,1075,437,1,10,2438137.3
65546,74,1,0,21,48157,2,8,2011,0,1708,6526,585,0,0,6559358.1
58284,35,1,0,73,21375,7,8,2006,1,4127,8457,753,1,0,5838204.6
65417,66,0,0,82,52099,4,9,1994,0,5200,4265,891,0,5,6550299.4
67724,64,1,1,32,21319,5,1,1991,1,9339,6052,751,0,2,6780960.1
62039,56,0,0,41,42570,8,7,2006,0,1876,5443,905,0,4,6205356.6
55369,37,1,0,52,30414,10,4,2020,0,4601,6754,336,0,3,5546033.0
27592,14,0,1,24,21238,9,5,2019,1,9886,4315,246,0,8,2765037.9
79718,53,0,0,89,92403,7,7,1998,1,4743,1691,439,1,8,7973973.8
11169,97,1,1,97,16604,4,9,1990,1,2978,2048,171,0,4,1135694.0
16006,64,1,0,81,51164,8,7,2014,1,5205,4975,431,0,9,1606879.4
49026,22,0,0,12,6161,3,8,2011,0,6192,9430,318,1,8,4904339.1
43905,58,0,1,49,77800,3,9,2014,1,1108,8561,191,1,4,4396172.4
45323,16,1,1,60,64002,9,7,1999,1,4067,1691,779,0,4,4537806.9
61788,26,0,0,39,65261,5,7,2000,0,1256,3981,341,0,7,6183155.0
36905,38,0,0,96,69830,2,7,2004,0,9950,2629,705,0,10,3694640.4
83526,38,1,1,84,98333,4,10,2002,0,4920,3764,533,1,8,8368737.2
82953,36,0,0,94,10967,5,1,1992,0,9535,9545,634,1,2,8301213.2
85476,36,1,0,44,83386,9,7,1992,1,6698,6043,692,1,7,8553019.2
36511,57,1,0,12,58072,1,6,1994,1,5545,9658,312,0,3,3653650.4
88307,62,1,1,11,17575,3,5,2005,1,9220,6850,613,0,1,8837519.5
78199,93,0,1,15,19890,9,10,2003,0,4837,2752,569,1,4,7825365.3
89490,98,0,0,47,1906,2,4,2003,0,7956,8045,762,0,1,8951286.3
16357,96,1,1,15,67409,3,10,1997,0,6899,9041,464,1,9,1640789.7
88997,90,1,0,84,63734,7,2,2003,0,6367,5762,404,1,7,8909466.3
36705,38,0,1,23,94515,5,2,2010,1,2585,6833,450,1,3,3676738.0
63751,77,1,1,37,46897,5,4,1991,0,4432,7487,833,1,5,6383612.1
98419,62,0,0,18,55349,5,7,2017,1,2894,7103,731,1,4,9844171.7
21167,27,1,0,66,49280,10,4,2013,0,4548,6383,625,0,9,2121941.3
84619,27,1,0,35,11177,7,9,2006,1,7529,8056,482,1,8,8468432.6
33779,69,1,1,46,93149,2,6,2009,1,6656,1594,881,1,6,3387381.9
85134,65,0,1,94,33732,8,10,2018,0,9053,1150,846,0,1,8522625.8
70137,41,0,0,85,87234,6,2,1998,1,4538,3321,893,1,10,7018139.8
31869,19,1,0,51,54028,2,6,2012,0,1412,5277,333,1,1,3191873.2
79857,62,0,0,46,16261,3,10,2018,1,4707,1272,469,1,2,7988061.8
79837,56,0,1,61,9646,10,3,2019,0,6045,4814,939,0,8,7991469.9
68856,98,1,1,57,91700,10,6,2019,1,7138,4102,725,1,0,6893304.9
20159,23,1,1,54,38198,7,4,2001,0,6989,1853,283,1,9,2024367.1
76995,87,0,1,50,36733,5,2,2007,1,7098,5945,688,1,5,7706348.7
51461,45,1,1,28,7520,1,4,2017,0,1861,1316,198,1,10,5152982.7
64834,64,1,0,17,15351,7,7,2013,0,3719,5893,546,1,7,6490258.3
88942,46,1,0,68,10789,3,3,1993,0,2778,9520,183,0,2,8900440.3
62979,58,1,0,85,85267,7,7,1996,0,4145,9449,905,1,1,6301868.6
97328,43,0,1,83,21032,6,4,1990,1,8767,5270,218,0,0,9739502.0
83520,50,0,0,78,49694,1,8,2000,1,4440,3848,807,1,6,8354366.0
77791,94,1,0,67,54273,5,5,2009,0,2582,2734,854,1,3,7786745.9
45215,81,1,0,40,21573,8,8,2007,0,5896,4706,964,0,4,4528000.7
55113,22,1,1,12,52712,10,8,2016,1,2108,3446,936,0,0,5519790.6
39298,78,0,1,40,8190,7,3,2008,0,9636,1714,583,0,0,3934536.8
83705,94,0,0,27,39119,2,10,2008,0,6632,1689,757,0,9,8372582.8
73080,96,1,0,28,17491,3,2,1990,1,2800,3779,687,1,2,7311244.0
39170,54,1,1,41,54522,7,10,2005,1,2427,8845,187,1,7,3926220.5
91275,17,0,1,21,86999,7,6,1999,1,5497,2263,224,0,8,9133455.9
65946,98,0,1,63,35928,1,8,2015,1,5802,1095,740,1,1,6597608.5
84696,69,0,1,25,76100,7,4,1991,1,6935,5142,541,0,6,8472972.1
29063,54,1,1,100,37116,3,9,2020,1,2467,4910,294,1,1,2916890.0
84148,97,1,0,100,48583,2,10,2005,1,9349,9814,864,0,2,8418964.5
67210,22,0,1,68,63246,3,9,2018,1,4144,1204,613,1,0,6731422.8
61129,44,1,1,33,91577,10,3,2008,0,8553,6798,440,0,10,6121496.8
12636,70,0,1,28,96190,2,2,2019,1,9656,8846,481,0,0,1269858.9
70806,79,0,1,62,84562,6,10,2011,1,7008,7774,310,0,1,7089274.1
29589,44,1,1,53,47268,6,5,1999,0,4510,9146,923,1,7,2968021.9
14621,40,0,0,41,31633,4,4,1996,0,9586,6957,633,0,7,1465123.6
28281,49,0,0,33,78659,8,1,1998,0,8210,8529,839,1,5,2829887.8
80909,44,0,0,37,28216,2,9,2019,1,1151,6421,627,1,5,8094783.9
64411,88,0,0,28,7876,3,5,2016,0,5730,1854,905,1,2,6443803.6
42490,73,0,1,20,25477,10,3,2012,1,4773,3534,706,1,8,4252006.2
32724,84,0,0,27,85317,8,4,2021,0,6354,4899,757,1,0,3273920.1
95464,28,1,0,88,91646,3,7,2010,1,5369,3335,293,1,8,9552982.0
42648,55,1,0,61,65569,5,3,2010,1,8489,5873,533,1,1,4271244.0
99145,95,1,1,48,28897,2,8,2011,0,3903,4181,852,0,10,9923111.1
12757,15,0,1,89,87595,4,7,1992,1,9361,3240,291,1,9,1287195.2
29480,66,1,1,77,60901,6,1,2018,1,4555,7640,574,1,6,2958907.8
77851,35,0,0,98,68279,5,9,1999,0,5658,3181,147,0,3,7788297.9
35352,89,1,1,18,10826,8,2,2020,0,8670,8810,471,1,6,3540142.0
96720,14,1,1,27,35971,8,9,1994,0,9849,1645,778,1,8,9680680.4
70837,57,1,1,35,67452,9,1,2013,1,9709,5388,272,0,1,7089763.3
98939,21,0,1,13,60876,6,9,2000,1,1449,4146,662,0,6,9899616.0
62871,76,1,0,30,94649,1,1,2007,1,7769,4322,462,1,4,6290336.7
12877,83,0,0,64,73010,7,1,2021,0,4350,2180,311,0,9,1291196.1
55617,24,1,1,55,69618,1,10,2019,1,2478,1511,147,0,1,5572546.9
25394,71,0,1,83,81035,2,7,2019,0,7256,6823,570,1,10,2543531.9
86848,93,1,0,56,76229,5,5,1992,1,9493,8925,224,1,1,8691290.2
97435,90,1,0,67,62817,2,3,1990,0,2229,9850,197,1,8,9752191.0
18209,51,1,0,60,55396,2,1,2017,1,6216,6588,315,1,10,1829917.7
70630,24,1,1,99,69241,10,7,2012,0,2449,2510,278,1,1,7073702.2
96877,77,1,0,94,77155,2,1,1992,0,9944,5824,481,1,2,9692657.2
86247,92,0,0,70,88098,3,10,2021,1,9631,6981,560,1,3,8630082.1
33131,42,1,1,95,415,4,8,2000,1,6469,3527,758,1,3,3320746.0
19084,54,1,1,96,57116,1,3,2002,1,5774,7169,954,1,6,1917423.2
22348,78,0,0,34,17454,10,9,2013,1,5562,2493,327,0,2,2238999.3
50793,51,0,1,21,57949,4,9,2015,0,4263,8736,860,1,10,5082950.5
68186,84,1,1,99,51178,10,4,1993,0,9946,2378,229,0,8,6835138.3
12425,17,0,0,85,9509,3,5,2013,0,6387,8467,652,1,5,1248831.3
55434,55,1,0,97,98846,7,9,2015,0,9485,3863,774,0,9,5547739.5
52353,13,1,0,81,70024,8,6,2021,0,4645,6667,705,1,0,5246946.1
64312,22,1,1,89,21240,7,10,2012,0,9550,3567,268,1,2,6438512.2
36558,40,0,1,24,31204,3,4,2004,1,3190,4409,337,0,4,3659640.4
68575,56,1,0,26,16160,5,8,2014,0,6193,3809,811,0,7,6864163.4
24415,18,1,1,79,79354,6,6,2002,1,7712,8172,153,0,3,2452866.2
46276,33,0,1,67,23557,9,5,2004,0,9148,4860,736,0,10,4632070.4
50556,43,1,0,34,10459,4,1,2021,0,4398,9748,666,0,6,5061327.1
96347,68,0,1,55,87676,1,6,2018,1,9802,3929,682,1,9,9637701.8
78357,13,1,0,98,15798,6,4,2016,0,2629,9034,842,1,5,7839653.6
90703,80,1,1,88,57686,7,3,2014,1,7611,5407,183,1,10,9082664.4
57415,21,1,1,43,87484,4,3,2020,1,7766,2974,260,1,0,5752367.0
85486,33,0,1,46,78442,1,7,1993,0,4228,1406,388,0,2,8553308.3
12989,47,0,0,95,84007,10,4,2017,0,4646,5025,642,0,10,1306641.7
89561,54,1,1,92,87853,8,1,1993,0,1171,1845,982,0,4,8968239.3
50956,33,0,0,25,84479,5,9,2008,1,3939,7465,370,0,1,5096675.8
13082,24,1,0,48,65999,2,7,2005,1,6406,5906,892,1,3,1316514.5
30645,87,0,1,28,65853,7,9,2011,1,7360,8340,674,0,7,3068569.1
87669,30,1,1,23,92149,8,3,2000,0,5640,1935,520,1,8,8777427.0
34721,80,0,0,55,47564,1,3,2012,0,8493,9639,434,1,1,3474091.2
34764,16,0,1,80,39261,1,2,2020,1,7869,9091,972,0,6,3484320.0
51329,27,0,0,63,37986,9,4,1990,1,7702,5317,745,0,7,5137918.0
77198,68,0,1,76,53958,2,3,2020,0,5289,6596,844,1,3,7728649.0
59560,21,0,0,69,31501,4,10,1999,1,3889,5046,843,1,0,5960180.9
28561,85,0,1,11,71233,10,6,1999,1,9667,9533,381,1,7,2862521.9
24323,65,1,1,46,49113,2,10,1995,1,5226,5244,682,0,4,2439231.5
74383,58,0,0,14,20734,7,5,1992,1,6646,9713,984,0,6,7439935.2
93734,17,1,1,62,29088,5,4,1999,1,2504,3891,325,0,2,9385146.9
30342,26,0,0,91,29644,5,10,2020,1,7782,3894,494,1,10,3039602.0
69629,20,1,1,95,48419,7,8,2016,0,8397,9994,934,0,7,6972311.6
70494,69,1,1,98,30556,3,3,2005,0,5652,6478,160,0,9,7059376.5
95610,12,1,0,28,16949,3,9,2003,0,3708,7069,659,1,4,9567484.3
17872,82,1,0,89,40057,10,2,1992,1,5328,9057,997,0,3,1791761.2
50560,23,0,0,49,39164,5,6,2002,0,6472,6235,800,0,5,5058512.2
16187,31,1,1,22,16768,4,5,2014,1,8179,2845,587,1,1,1626142.4
31616,59,0,1,35,28454,4,7,2008,1,4466,5674,790,1,10,3166791.8
23123,64,1,1,24,78425,9,8,2004,1,2847,9028,497,0,8,2319772.4
65118,46,1,1,34,83042,4,1,2001,1,6403,7699,414,1,5,6521916.1
52287,45,1,1,33,84580,6,6,2003,1,4820,8100,422,1,8,5233872.3
86437,45,1,0,71,94679,8,9,2011,0,5509,2903,178,1,8,8651644.1
53662,94,1,1,61,21744,8,2,2013,1,1995,8809,766,1,5,5371947.3
27327,96,0,0,68,75406,10,9,1994,1,8888,9168,351,1,9,2739443.4
13160,55,1,0,76,67551,6,9,1996,1,9049,8653,567,1,0,1323840.6
99278,79,1,0,84,9586,3,8,2016,0,3816,8870,509,0,3,9937148.6
40511,89,1,1,18,14273,7,7,1996,0,8694,9598,691,1,8,4060278.6
62060,100,0,0,29,90952,3,9,2010,0,1718,1325,629,0,9,6207859.0
89136,37,0,0,84,91205,8,8,2017,0,3786,6649,678,0,9,8920113.7
16416,75,0,0,98,57335,4,3,2012,1,9495,7347,554,0,4,1650531.2
94257,85,1,0,78,9021,3,1,2011,0,7725,8624,887,1,6,9435819.1
60498,78,0,1,79,48446,5,7,1991,0,7002,6802,652,1,5,6058305.1
55984,92,0,1,51,35375,6,3,1999,1,4997,5660,213,0,5,5604992.9
97184,95,0,1,60,41583,2,4,2012,1,5927,8522,256,0,8,9725732.2
17673,92,0,0,51,30693,8,10,2013,0,6748,2558,268,1,3,1768662.3
87561,32,0,0,34,16616,9,7,1997,1,1493,3897,184,1,3,8759873.7
69323,36,0,1,51,30468,4,4,2005,1,2795,9327,290,1,7,6937072.5
76373,33,0,1,32,69322,10,8,1995,1,4171,6097,182,1,6,7641233.5
74688,85,0,0,73,82728,5,7,2019,1,2289,4926,325,0,3,7475875.9
15713,12,0,0,68,32542,3,10,2006,0,6405,8723,924,1,10,1576682.6
79092,12,1,1,78,42106,3,7,1999,0,4549,7974,902,0,3,7920131.9
51018,88,0,1,73,52753,5,3,1999,1,8565,3045,664,0,3,5108683.9
84825,30,0,0,68,91913,5,8,2015,0,1942,3528,400,0,1,8484171.5
77086,55,0,1,92,27478,9,5,1996,1,1357,9576,908,0,7,7714958.6
30018,49,1,1,29,14808,10,3,2003,1,6324,8145,753,1,7,3008092.3
11351,80,0,0,99,5847,7,3,1992,0,3688,9267,693,1,2,1139512.2
80309,44,0,1,50,40668,2,9,2011,0,6134,7254,847,1,8,8039284.1
84568,45,1,1,86,35227,2,6,2021,0,6935,7273,236,1,3,8467953.1
77604,38,0,1,47,67056,1,3,2019,0,5010,5814,335,0,9,7767659.9
23118,75,1,1,81,81723,10,2,2012,0,8213,2582,479,0,0,2326378.2
53645,57,0,0,14,14088,7,2,2015,0,9030,2592,885,0,7,5366189.5
37819,91,0,0,93,88724,2,1,2020,0,1779,2138,822,0,4,3791037.0
61578,47,1,1,35,38455,3,7,1999,1,4185,3674,812,0,7,6170525.9
42469,26,0,1,77,74056,4,7,2016,0,6642,3604,992,0,9,4258191.6
12148,71,1,0,63,72752,7,7,1997,0,1751,3092,650,1,1,1218447.7
35133,26,1,0,60,46784,5,6,2005,1,5587,8954,727,0,5,3521964.5
38502,77,1,1,11,33167,6,10,2010,1,8276,6588,407,0,9,3861362.0
77747,50,1,1,72,98938,8,10,2014,1,4829,4204,455,0,3,7786197.4
34668,69,1,1,12,17366,8,7,2002,1,3476,7549,503,1,7,3475230.2
22875,86,1,0,95,8661,5,7,1994,0,6394,2119,542,0,7,2295511.4
42242,62,1,1,64,24809,2,7,2019,1,8973,7060,683,1,1,4238504.9
99872,60,0,0,27,53068,7,6,1992,1,1440,2261,683,0,9,9989326.2
11694,95,1,1,64,80456,8,6,2021,0,2573,8253,294,1,8,1185882.1
71593,92,0,0,34,82914,5,1,2005,1,1418,4282,547,1,7,7160694.5
14639,94,1,0,99,45011,7,8,2021,0,4267,9266,423,1,2,1467522.1
88759,85,0,1,94,69450,2,8,2012,1,2261,3832,156,0,7,8882062.2
59260,39,1,1,35,94035,2,1,2018,1,1832,1087,452,0,10,5932371.8
25333,24,0,1,16,5799,5,2,2013,0,6852,5762,622,1,1,2538258.3
81572,26,0,0,86,18797,1,2,1995,0,7330,4461,643,0,6,8163755.5
89167,93,1,0,49,36323,3,6,2013,1,1458,6354,924,0,10,8923665.3
59108,38,0,0,84,54889,10,3,1992,0,3231,6000,651,1,3,5913599.2
76932,16,0,0,80,78108,7,9,2010,0,2074,6389,236,1,10,7698911.0
98250,45,1,0,13,51326,3,10,2002,0,6344,7783,869,1,6,9830956.2
39750,46,0,1,41,43216,2,7,2012,1,7936,2091,888,0,10,3982103.2
42623,92,1,0,18,18227,8,8,2019,0,2114,8455,218,1,1,4268615.9
49939,91,1,1,67,61773,9,10,2010,0,8910,7956,501,0,5,5006544.0
63822,79,0,1,30,97199,4,8,2011,0,1607,4082,679,1,10,6388329.1
50223,34,0,0,80,98357,8,9,2016,0,5747,5952,839,0,3,5030381.6
27728,59,1,1,52,53450,1,9,2021,1,8468,9646,890,1,2,2784047.1
33947,56,1,1,83,123,4,9,2003,1,8462,1631,638,0,4,3403675.3
35060,21,0,1,82,456,1,4,2013,1,5150,2188,323,0,8,3513606.3
35788,33,1,1,37,93085,3,3,2018,0,6969,6603,600,1,6,3586313.8
79338,35,1,1,80,64607,7,3,2014,1,1908,1927,447,0,2,7943850.4
91266,17,0,0,21,39977,4,10,1992,1,7969,7278,880,1,5,9128050.2
64297,88,0,0,96,95406,2,5,2004,0,8524,5460,663,0,8,6433264.4
17847,85,1,1,15,49213,8,4,2010,0,5249,4186,782,1,1,1790044.0
85420,77,1,0,18,70149,2,1,2013,1,8078,8273,911,0,9,8547192.3
58571,24,1,1,96,96365,2,7,1996,1,2821,9200,845,0,4,5871811.6
39066,20,0,1,27,95736,5,5,2001,1,9286,2855,337,1,3,3914366.1
67302,75,1,0,37,27333,1,5,2013,0,6416,3587,349,1,2,6736275.3
54096,76,1,1,81,82008,7,7,2009,0,3228,6857,753,1,3,5421215.9
98102,41,0,0,36,12459,10,8,1990,1,2931,4051,940,1,7,9812451.0
94196,62,1,1,25,25206,4,2,1996,1,8589,5683,968,1,5,9427245.6
17818,61,0,1,32,86721,3,5,1998,1,2631,1246,329,0,2,1785818.8
26050,20,0,1,48,39634,7,2,1991,0,9143,4193,195,0,2,2612716.1
92688,17,0,0,41,73006,5,4,1994,0,8919,5404,814,1,0,9271540.4
63304,18,1,0,81,14366,9,4,1997,1,9788,6538,503,1,7,6342245.7
91604,28,1,1,57,52200,5,8,2018,1,7951,3901,489,1,5,9169471.8
68365,96,0,1,79,31033,5,7,1990,1,8246,4070,636,1,6,6846772.0
63137,34,0,1,46,59502,2,4,1994,0,1446,3208,617,1,2,6319616.4
98951,98,1,0,46,86148,10,1,2012,1,9413,7447,230,1,4,9905156.2
69623,69,0,0,54,12448,3,7,2007,0,2459,9314,471,1,2,6966322.7
16147,47,0,1,63,58471,10,1,1990,0,1730,7967,722,1,0,1620485.0
59300,61,0,1,81,92773,6,8,2016,0,5786,5305,298,1,8,5934782.6
28238,51,0,1,51,64670,1,1,2010,0,2933,7706,392,0,0,2828215.0
61924,89,0,1,21,57805,1,9,2003,1,4010,3798,525,1,4,6198532.3
54550,94,0,1,59,5827,9,8,1997,1,4482,2989,486,0,5,5460811.7
84491,83,1,1,16,27636,3,1,1996,1,6653,4391,323,0,6,8457523.6
47794,35,0,1,78,94512,4,2,2014,0,7795,3910,957,1,7,4784670.4
37944,37,0,1,54,30467,3,9,1995,0,7627,4770,153,1,8,3799916.5
41757,46,0,0,31,7214,1,2,2016,1,4331,1483,194,0,0,4177546.6
84609,59,1,1,29,57704,6,8,2006,0,1459,5381,205,0,10,8469601.6
36799,77,0,1,56,17623,10,9,1992,1,9053,9408,623,0,7,3685628.2
80582,24,1,0,74,65750,1,3,2011,0,2241,2390,146,1,8,8067342.1
28964,75,0,1,54,64637,1,6,2004,1,9920,5718,560,1,3,2905336.4
80039,86,1,1,45,14020,4,6,1996,0,6447,4215,581,1,7,8009219.6
50070,66,0,1,47,51088,4,4,1995,1,2411,2709,766,1,6,5010998.5
67798,54,0,0,87,46628,1,4,2013,0,5019,8004,839,1,2,6783470.3
71025,99,0,0,23,4861,4,4,2010,1,5948,9820,464,0,7,7104405.0
22587,48,1,1,29,2661,9,3,1998,0,5533,6315,652,0,3,2266626.8
92698,19,1,0,28,75398,6,9,2006,0,6673,8726,275,1,3,9274536.6
61241,19,0,0,45,80077,9,3,2019,1,6684,5966,766,0,2,6125986.9
21068,18,1,1,85,23455,4,5,1990,1,9868,6168,935,0,1,2118534.0
84154,70,0,0,83,24336,4,3,2008,1,7318,6920,890,0,6,8419569.8
63437,51,1,1,78,84675,7,10,2000,0,4062,4048,156,1,10,6351922.0
39899,65,0,0,41,19460,5,3,2006,0,1746,2846,418,1,1,3993466.6
31088,59,0,1,40,31169,2,9,2003,0,2370,2765,943,1,7,3116014.3
83936,20,0,1,25,57795,4,8,1995,1,1460,1839,601,0,8,8399014.5
21597,45,0,0,74,83103,3,6,2015,0,5714,2057,649,0,6,2161065.5
11904,59,0,1,55,79610,4,2,1993,0,9794,4214,813,1,3,1198851.3
15555,13,0,0,66,50637,4,2,2014,0,4754,4923,398,0,3,1558805.4
72161,65,0,0,94,33126,5,7,1998,0,9148,7106,765,0,3,7225761.8
87587,80,0,0,59,88746,5,7,2011,0,4857,2220,713,1,7,8761570.1
84431,72,0,0,35,91450,4,6,1996,0,3882,2460,727,0,5,8445624.6
26299,53,0,0,82,81489,10,10,2020,1,1857,1377,224,0,4,2638300.0
73073,66,0,1,54,67669,10,8,2003,0,5066,8623,305,0,0,7317758.3
99093,39,1,0,34,42143,2,8,2012,1,7447,9723,207,0,3,9914508.2
56701,60,1,1,34,91300,6,2,2008,0,9778,5920,396,0,4,5673882.8
28436,50,0,1,90,11067,5,6,1999,1,3497,5452,366,0,1,2848381.9
22461,85,0,1,70,94411,6,3,2019,0,5513,5339,943,1,1,2255310.9
59071,87,0,0,24,19336,6,7,2012,1,7221,4833,742,0,6,5909009.2
78010,16,1,1,100,23653,8,8,1994,1,9159,3752,286,0,6,7809768.4
14079,32,1,1,81,79296,6,1,1991,1,3291,2247,276,1,6,1419421.1
37856,97,1,0,85,81608,6,7,1998,0,5501,3221,647,1,5,3792661.8
11512,93,0,0,59,86123,7,6,2012,1,8834,3460,279,0,7,1152954.2
99648,97,0,1,39,40035,10,8,1996,1,6343,9376,453,0,5,9971099.6
68269,16,0,1,41,79661,6,6,2017,0,2860,5564,867,1,9,6835405.7
36936,97,1,0,65,8495,8,2,2002,0,1375,2558,688,1,9,3697084.2
93217,54,0,0,95,4907,1,5,1997,1,4686,7993,696,0,9,9328799.7
70715,49,1,0,45,56692,3,3,2001,1,1556,9322,741,1,2,7076608.1
33512,28,1,0,46,96775,4,8,2007,0,1795,7799,587,0,8,3355634.7
32910,67,1,1,15,92975,3,10,2010,1,6957,4477,697,1,5,3301042.0
64963,33,1,0,55,24858,6,3,2014,1,3190,3266,317,1,2,6500685.4
35519,100,1,1,28,74991,2,2,2003,1,2339,8780,910,0,3,3558953.3
56501,81,0,0,27,29635,5,7,2000,1,4877,1886,798,0,7,5651274.0
52646,91,1,0,30,35763,9,6,2001,0,6433,6757,911,1,0,5272375.1
74623,98,1,0,99,49182,7,7,2019,0,9494,2421,549,1,1,7477062.9
64492,84,1,1,31,5498,1,3,2014,0,5273,3971,324,1,1,6459748.4
45989,84,1,1,74,40727,5,5,2008,1,5937,6394,354,1,0,4611619.8
82284,19,0,1,90,58419,1,4,2015,0,3292,7605,850,1,1,8236956.5
46505,63,1,0,11,79467,8,2,2013,0,8982,9287,741,0,7,4654841.3
47651,32,0,0,54,60052,8,7,2014,0,8258,9801,996,1,1,4768941.4
85811,70,1,1,91,66014,3,5,1999,0,8142,3463,552,1,1,8594337.9
60936,91,1,0,33,52550,6,8,2016,0,7581,3432,577,0,5,6098399.6
42407,33,0,0,86,97183,1,2,2021,1,9083,3231,639,0,8,4247458.1
49779,77,1,1,31,50053,10,5,2006,1,1112,2027,883,0,6,4986710.6
49033,67,0,1,92,48676,9,10,2020,0,4774,4703,731,1,3,4913241.0
22468,61,0,0,21,56991,2,10,2013,0,7138,5447,337,0,1,2248298.3
73885,47,0,1,31,33591,8,7,2019,0,6657,7384,562,0,9,7393278.9
57639,65,1,1,40,37618,1,8,2002,0,8125,8215,973,0,6,5769167.2
68862,78,1,0,12,71442,4,9,2017,1,3064,5202,962,0,9,6891082.7
30312,65,1,0,78,33287,9,6,1996,0,2308,7856,930,1,2,3038342.6
74893,94,1,0,87,15460,2,8,2020,1,4898,8885,355,0,0,7494261.0
99125,99,1,0,16,11283,3,1,1998,1,9298,8684,556,0,7,9916436.8
99104,77,1,1,64,17030,8,2,2001,1,8965,8063,327,1,5,9922700.1
31644,35,0,1,42,96222,2,4,2013,1,3968,6793,842,1,5,3169499.3
84789,50,0,1,27,91548,9,6,1992,0,9782,7911,857,0,9,8484814.2
71807,99,1,0,87,27489,4,6,1996,1,6710,7671,415,1,9,7193582.6
14921,74,0,0,64,18913,6,2,1995,1,3884,8134,431,1,2,1496575.5
53798,78,0,1,52,51244,4,4,1993,1,1249,5380,461,1,10,5386875.3
82733,48,1,1,87,84652,9,10,2018,0,2073,5732,869,0,4,8287927.8
95968,59,1,1,59,10522,1,8,2019,0,7779,1932,749,0,0,9609048.9
31357,85,1,0,76,89246,2,9,2017,1,3115,8929,248,1,6,3141062.7
99355,81,1,1,68,69687,2,8,1994,0,6968,5109,950,1,4,9940016.4
98940,15,1,1,65,75702,5,3,2015,1,5891,9588,877,0,10,9899873.5
73889,32,1,1,93,95965,4,3,1996,1,3758,1954,469,1,0,7403420.6
54631,69,1,1,43,1911,3,6,2006,1,3289,4305,686,0,1,5471295.6
17109,89,0,1,35,14637,4,1,2020,0,2929,6229,831,1,6,1719159.0
65046,86,0,0,48,38597,9,5,2001,1,9300,3294,877,1,3,6506466.1
47264,21,1,1,50,78063,1,3,1993,1,9201,7319,707,0,7,4737385.3
13898,96,0,0,41,2434,5,1,2007,1,1816,4036,534,1,1,1393356.7
60238,99,0,0,98,80008,6,7,2010,0,7210,9739,782,1,4,6028617.0
39591,48,1,1,55,5758,10,9,2021,0,1971,2020,266,1,10,3967203.1
58046,61,1,1,29,89671,10,5,2001,1,9252,5281,779,1,1,5811902.1
54694,75,1,0,73,3520,9,8,1996,0,7413,6666,347,0,4,5478956.6
26864,34,0,0,86,33578,3,4,2001,0,6504,3685,191,0,7,2692368.1
43524,58,0,0,28,71371,7,10,2003,1,9143,5447,815,0,0,4354494.3
18349,49,1,1,47,78897,8,8,1997,1,5649,3672,313,1,5,1844863.7
47870,23,1,1,59,9458,6,1,2018,0,3903,1636,933,0,10,4795565.8
99266,80,1,1,39,95079,2,10,2016,1,3627,6309,871,1,0,9932775.6
85512,64,1,1,73,57918,4,10,1994,0,4707,8481,302,0,9,8560263.4
97392,48,0,1,83,29178,10,9,2016,1,2771,6219,167,0,2,9746606.6
